Date District Total Confirmed Asymptomatic
2022-04-28 嘉定区 488 132 356
2022-04-28 金山区 28 8 20
2022-04-28 松江区 402 252 150
2022-04-28 青浦区 269 137 132
2022-04-28 奉贤区 6 3 3
2022-04-28 崇明区 38 3 35
2022-04-29 浦东新区 2028 131 1897
2022-04-29 黄浦区 1399 250 1149
2022-04-29 静安区 1267 124 1143
2022-04-29 徐汇区 602 214 388
2022-04-29 长宁区 377 58 319
2022-04-29 普陀区 141 55 86
2022-04-29 虹口区 1015 22 993
2022-04-29 杨浦区 767 27 740
2022-04-29 宝山区 1197 130 1067
2022-04-29 闵行区 516 144 372
2022-04-29 嘉定区 268 22 246
2022-04-29 金山区 19 1 18
2022-04-29 松江区 134 24 110
2022-04-29 青浦区 156 46 110
2022-04-29 奉贤区 26 1 25
2022-04-29 崇明区 269 0 269
2022-04-30 浦东新区 1625 37 1588
2022-04-30 黄浦区 1156 110 1046
2022-04-30 静安区 996 110 886
2022-04-30 徐汇区 488 136 352
2022-04-30 长宁区 181 40 141
2022-04-30 普陀区 114 27 87
2022-04-30 虹口区 591 47 544
2022-04-30 杨浦区 342 22 320
2022-04-30 宝山区 1133 112 1021
2022-04-30 闵行区 431 53 378
2022-04-30 嘉定区 259 41 218
2022-04-30 金山区 11 0 11
2022-04-30 松江区 105 29 76
2022-04-30 青浦区 128 21 107
2022-04-30 奉贤区 4 2 2
2022-04-30 崇明区 308 1 307
2022-05-01 浦东新区 1652 132 1520
2022-05-01 黄浦区 1112 128 984
2022-05-01 静安区 702 70 632
2022-05-01 徐汇区 442 71 371
2022-05-01 长宁区 243 33 210
2022-05-01 普陀区 95 12 83
2022-05-01 虹口区 669 69 600
2022-05-01 杨浦区 467 35 432
2022-05-01 宝山区 983 94 889
2022-05-01 闵行区 386 29 357
2022-05-01 嘉定区 268 14 254
2022-05-01 金山区 14 2 12
2022-05-01 松江区 96 12 84
2022-05-01 青浦区 115 24 91
2022-05-01 奉贤区 13 1 12
2022-05-01 崇明区 76 1 75
2022-05-02 浦东新区 1162 38 1124
2022-05-02 黄浦区 974 17 957
2022-05-02 静安区 616 20 596
2022-05-02 徐汇区 417 38 379
2022-05-02 长宁区 151 4 147
2022-05-02 普陀区 79 1 78
2022-05-02 虹口区 366 18 348
2022-05-02 杨浦区 388 34 354
2022-05-02 宝山区 636 33 603
2022-05-02 闵行区 287 28 259
2022-05-02 嘉定区 279 4 275
2022-05-02 金山区 7 0 7
2022-05-02 松江区 68 29 39
2022-05-02 青浦区 94 10 84
2022-05-02 奉贤区 10 0 10
2022-05-02 崇明区 135 0 135
2022-05-03 浦东新区 883 49 834
2022-05-03 黄浦区 939 27 912
2022-05-03 静安区 565 17 548
2022-05-03 徐汇区 363 26 337
2022-05-03 长宁区 102 6 96
2022-05-03 普陀区 62 8 54
2022-05-03 虹口区 358 11 347
2022-05-03 杨浦区 421 27 394
2022-05-03 宝山区 620 34 586
